iteration,mean_nll
1,7.245263847115643
2,2.796005142479982
3,1.4372918737335594
4,-0.017065169365228262
5,-0.01714319206726028
6,-0.0175339938307908
7,-0.017662782129571595
8,-0.017772785439019657
9,-0.017852713075722684
10,-0.01790967868463629
11,-0.017947188602986292
12,-0.017975319383094567
13,-0.017995519454471462
14,-0.018008503385242534
15,-0.018015455027722303
16,-0.018018945950695774
17,-0.018020710343594596
18,-0.018021597125640092
19,-0.01802204530402818
20,-0.01802227111053169
21,-0.018022385050954794
22,-0.018022442442532174
23,-0.018022471889478565
